Entity properties name,Variable DCID,Variable observation date,Variable observation value,Variable properties name,Smoothed_Value
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-06,15,Air Quality Index,17
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-07,11,Air Quality Index,15.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-08,7,Air Quality Index,14.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-09,15,Air Quality Index,12.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-10,19,Air Quality Index,12
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-11,11,Air Quality Index,11.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-12,11,Air Quality Index,12.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-13,10,Air Quality Index,11.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-14,9,Air Quality Index,10.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-15,10,Air Quality Index,10.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-16,8,Air Quality Index,10.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-17,14,Air Quality Index,10.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-18,13,Air Quality Index,10.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-19,11,Air Quality Index,9.85714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-20,7,Air Quality Index,11.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-21,8,Air Quality Index,12.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-22,8,Air Quality Index,11.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-23,22,Air Quality Index,11
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-24,17,Air Quality Index,10.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-25,9,Air Quality Index,11.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-26,6,Air Quality Index,11
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-27,6,Air Quality Index,9.42857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-28,11,Air Quality Index,8.57142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-29,6,Air Quality Index,8.42857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-30,11,Air Quality Index,9.57142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-05-31,11,Air Quality Index,11
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-01,8,Air Quality Index,13.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-02,14,Air Quality Index,17.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-03,16,Air Quality Index,17
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-05,26,Air Quality Index,16.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-06,34,Air Quality Index,16.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-07,10,Air Quality Index,16.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-08,6,Air Quality Index,16
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-09,9,Air Quality Index,15.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-10,12,Air Quality Index,14.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-11,15,Air Quality Index,17.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-12,20,Air Quality Index,19.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-13,31,Air Quality Index,22
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-14,31,Air Quality Index,23.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-15,18,Air Quality Index,22.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-16,27,Air Quality Index,21.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-17,22,Air Quality Index,18.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-18,11,Air Quality Index,15
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-19,12,Air Quality Index,13.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-20,9,Air Quality Index,10
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-21,6,Air Quality Index,8
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-22,6,Air Quality Index,9.42857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-23,4,Air Quality Index,10.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-24,8,Air Quality Index,12.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-25,21,Air Quality Index,14.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-26,19,Air Quality Index,16.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-27,21,Air Quality Index,19.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-28,23,Air Quality Index,19.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-29,19,Air Quality Index,19
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-06-30,24,Air Quality Index,19
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-01,10,Air Quality Index,24.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-02,17,Air Quality Index,24.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-03,19,Air Quality Index,24.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-04,62,Air Quality Index,27.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-05,21,Air Quality Index,30.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-06,20,Air Quality Index,32.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-07,42,Air Quality Index,32.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-08,32,Air Quality Index,24.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-09,30,Air Quality Index,23.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-10,21,Air Quality Index,22.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-11,8,Air Quality Index,18.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-12,11,Air Quality Index,16.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-13,12,Air Quality Index,14.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-14,15,Air Quality Index,14.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-15,17,Air Quality Index,16.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-16,18,Air Quality Index,19
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-17,23,Air Quality Index,20.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-18,22,Air Quality Index,20
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-19,26,Air Quality Index,19.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-20,25,Air Quality Index,18.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-21,9,Air Quality Index,16.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-22,16,Air Quality Index,15.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-23,10,Air Quality Index,13
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-24,8,Air Quality Index,11.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-25,15,Air Quality Index,12.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-26,8,Air Quality Index,13.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-27,12,Air Quality Index,15
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-28,18,Air Quality Index,16.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-29,23,Air Quality Index,15.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-30,21,Air Quality Index,15.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-07-31,21,Air Quality Index,14.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-08-01,7,Air Quality Index,12.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-08-02,6,Air Quality Index,9.57142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-08-03,3,Air Quality Index,7.85714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-08-04,4,Air Quality Index,7.14285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-08-05,5,Air Quality Index,7.85714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-08-07,9,Air Quality Index,8
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-08-08,16,Air Quality Index,9.14285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-08-09,12,Air Quality Index,9.14285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-08-10,7,Air Quality Index,11.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-08-12,11,Air Quality Index,11.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-08-13,4,Air Quality Index,9.85714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-08-14,19,Air Quality Index,8.85714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-08-15,13,Air Quality Index,9
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-08-16,3,Air Quality Index,9.57142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-08-17,5,Air Quality Index,13.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-08-18,8,Air Quality Index,13.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-08-30,15,Air Quality Index,14.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-09-05,34,Air Quality Index,18.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-09-10,15,Air Quality Index,21.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-09-11,19,Air Quality Index,24
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-09-12,31,Air Quality Index,27.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-09-13,27,Air Quality Index,28
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-09-15,27,Air Quality Index,30.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-09-16,37,Air Quality Index,31.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-09-17,40,Air Quality Index,30.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-09-18,35,Air Quality Index,29
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-09-19,26,Air Quality Index,26.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-09-20,24,Air Quality Index,24.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-09-23,14,Air Quality Index,25.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-09-24,10,Air Quality Index,23.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-09-25,22,Air Quality Index,23
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-09-27,46,Air Quality Index,20
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-09-28,23,Air Quality Index,18.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-09-29,22,Air Quality Index,18.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-02,3,Air Quality Index,20.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-03,5,Air Quality Index,15.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-04,6,Air Quality Index,13.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-05,41,Air Quality Index,11.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-06,6,Air Quality Index,12.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-07,14,Air Quality Index,14.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-08,6,Air Quality Index,15.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-09,10,Air Quality Index,10.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-10,19,Air Quality Index,10.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-11,14,Air Quality Index,9.71428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-12,4,Air Quality Index,9.71428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-13,6,Air Quality Index,10
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-14,9,Air Quality Index,9.14285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-15,6,Air Quality Index,8.42857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-16,12,Air Quality Index,8.85714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-17,13,Air Quality Index,10.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-18,9,Air Quality Index,11.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-19,7,Air Quality Index,11.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-20,18,Air Quality Index,11.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-21,15,Air Quality Index,12
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-22,6,Air Quality Index,15.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-23,13,Air Quality Index,20.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-24,16,Air Quality Index,24.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-25,33,Air Quality Index,25.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-26,44,Air Quality Index,31.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-27,42,Air Quality Index,38.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-28,23,Air Quality Index,42.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-29,48,Air Quality Index,40.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-10-30,63,Air Quality Index,35.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-01,45,Air Quality Index,32.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-02,18,Air Quality Index,31
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-03,7,Air Quality Index,27
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-04,22,Air Quality Index,26
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-05,14,Air Quality Index,25.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-06,20,Air Quality Index,28.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-07,56,Air Quality Index,36
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-09,44,Air Quality Index,39.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-10,36,Air Quality Index,42.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-11,60,Air Quality Index,41.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-12,46,Air Quality Index,38.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-13,35,Air Quality Index,36.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-14,14,Air Quality Index,38.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-15,33,Air Quality Index,33.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-16,33,Air Quality Index,35.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-17,47,Air Quality Index,39
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-18,27,Air Quality Index,42
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-19,57,Air Quality Index,40.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-20,62,Air Quality Index,41.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-21,35,Air Quality Index,36
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-22,21,Air Quality Index,34.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-23,40,Air Quality Index,29.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-24,10,Air Quality Index,23.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-25,19,Air Quality Index,19.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-26,22,Air Quality Index,16.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-27,19,Air Quality Index,12
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-28,4,Air Quality Index,12.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-29,4,Air Quality Index,13.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-11-30,6,Air Quality Index,19.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-01,15,Air Quality Index,23.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-02,22,Air Quality Index,31.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-03,65,Air Quality Index,31.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-04,49,Air Quality Index,35.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-05,59,Air Quality Index,34.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-06,7,Air Quality Index,33.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-07,31,Air Quality Index,26.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-08,7,Air Quality Index,23.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-09,14,Air Quality Index,19.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-10,17,Air Quality Index,22.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-11,29,Air Quality Index,19.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-12,31,Air Quality Index,20.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-13,27,Air Quality Index,19.4285714285714
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-14,10,Air Quality Index,22.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-15,13,Air Quality Index,24.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-16,9,Air Quality Index,24.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-17,36,Air Quality Index,22.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-18,44,Air Quality Index,23.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-19,33,Air Quality Index,27.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-20,10,Air Quality Index,31.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-21,18,Air Quality Index,29.5714285714286
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-22,45,Air Quality Index,24.1428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-23,37,Air Quality Index,19.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-24,20,Air Quality Index,24
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-25,6,Air Quality Index,22.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-26,2,Air Quality Index,16.2857142857143
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-27,40,Air Quality Index,11.8571428571429
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-28,9,Air Quality Index,9.71428571428571
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-29,0,Air Quality Index,10
Juneau City and Borough,AirQualityIndex_AirPollutant,1986-12-31,6,Air Quality Index,17.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1987-01-01,5,Air Quality Index,19
Juneau City and Borough,AirQualityIndex_AirPollutant,1987-01-02,8,Air Quality Index,20
Juneau City and Borough,AirQualityIndex_AirPollutant,1987-01-03,56,Air Quality Index,21.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1987-01-04,49,Air Quality Index,22.7142857142857
Juneau City and Borough,AirQualityIndex_AirPollutant,1987-01-05,16,Air Quality Index,23.7142857142857
